title,artist,image_url,genre
Breaking the Habit,Linkin Park,https://i.scdn.co/image/1685533969d5b68cbc630f991e873bd6467f1814,alternative metal
Shadow of the Day,Linkin Park,https://i.scdn.co/image/1685533969d5b68cbc630f991e873bd6467f1814,alternative metal
Heavy (feat. Kiiara),Linkin Park,https://i.scdn.co/image/1685533969d5b68cbc630f991e873bd6467f1814,alternative metal
One More Light,Linkin Park,https://i.scdn.co/image/1685533969d5b68cbc630f991e873bd6467f1814,alternative metal
Faint,Linkin Park,https://i.scdn.co/image/1685533969d5b68cbc630f991e873bd6467f1814,alternative metal
BURN IT DOWN,Linkin Park,https://i.scdn.co/image/1685533969d5b68cbc630f991e873bd6467f1814,alternative metal
C'est moi Mbappé,Gambi,https://i.scdn.co/image/e0e5f40fcb4f20f30e34b30d72c6e13803680246,rap francais
Oulalah,Gambi,https://i.scdn.co/image/e0e5f40fcb4f20f30e34b30d72c6e13803680246,rap francais
Popopop,Gambi,https://i.scdn.co/image/e0e5f40fcb4f20f30e34b30d72c6e13803680246,rap francais
La Guenav,Gambi,https://i.scdn.co/image/e0e5f40fcb4f20f30e34b30d72c6e13803680246,rap francais
Hé oh,Gambi,https://i.scdn.co/image/e0e5f40fcb4f20f30e34b30d72c6e13803680246,rap francais
fiji*,Data Luv,https://i.scdn.co/image/e08d1d3372c14703648ca9daeee89870c387b067,german trap
now*,Data Luv,https://i.scdn.co/image/e08d1d3372c14703648ca9daeee89870c387b067,german trap
Highspeed,Data Luv,https://i.scdn.co/image/e08d1d3372c14703648ca9daeee89870c387b067,german trap
Elvira,Naps,https://i.scdn.co/image/af8dc3bc26ae59b487439b7894ebbb066716f4e1,french hip hop
Vovo,Naps,https://i.scdn.co/image/af8dc3bc26ae59b487439b7894ebbb066716f4e1,french hip hop
Tokyo,Naps,https://i.scdn.co/image/af8dc3bc26ae59b487439b7894ebbb066716f4e1,french hip hop
C'est la guerre,Naps,https://i.scdn.co/image/af8dc3bc26ae59b487439b7894ebbb066716f4e1,french hip hop
On est fait pour ça,Naps,https://i.scdn.co/image/af8dc3bc26ae59b487439b7894ebbb066716f4e1,french hip hop
Le fixe,Naps,https://i.scdn.co/image/af8dc3bc26ae59b487439b7894ebbb066716f4e1,french hip hop
Le sens des affaires,Naps,https://i.scdn.co/image/af8dc3bc26ae59b487439b7894ebbb066716f4e1,french hip hop
Recherché,Naps,https://i.scdn.co/image/af8dc3bc26ae59b487439b7894ebbb066716f4e1,french hip hop
